symbol,date,price
Bakery,Oct 2006,87.06
Bakery,Nov 2006,86.95
Bakery,Dec 2006,91.9
Bakery,Jan 2007,93.79
Bakery,Feb 2007,88.18
Bakery,Mar 2007,89.44
Bakery,Apr 2007,96.98
Bakery,May 2007,101.54
Bakery,Jun 2007,100.25
Bakery,Jul 2007,105.4
Bakery,Aug 2007,111.54
Bakery,Sep 2007,112.6
Bakery,Oct 2007,111
Bakery,Nov 2007,100.9
Bakery,Dec 2007,103.7
Bakery,Jan 2008,102.75
Bakery,Feb 2008,109.64
Bakery,Mar 2008,110.87
Bakery,Apr 2008,116.23
Bakery,May 2008,125.14
Bakery,Jun 2008,114.6
Bakery,Jul 2008,123.74
Bakery,Aug 2008,118.16
Bakery,Sep 2008,113.53
Bakery,Oct 2008,90.24
Bakery,Nov 2008,79.65
Bakery,Dec 2008,82.15
Bakery,Jan 2009,89.46
Bakery,Feb 2009,90.32
Bakery,Mar 2009,95.09
Bakery,Apr 2009,101.29
Bakery,May 2009,104.85
Bakery,Jun 2009,103.01
Bakery,Jul 2009,116.34
Bakery,Aug 2009,117
Bakery,Sep 2009,118.55
Bakery,Oct 2009,119.54
Bakery,Nov 2009,125.79
Bakery,Dec 2009,130.32
Bakery,Jan 2010,121.85
Bakery,Feb 2010,127.16
Bakery,Mar 2010,125.55
Dairy,Jan 2000,25.94
Dairy,Feb 2000,28.66
Dairy,Mar 2000,33.95
Dairy,Apr 2000,31.01
Dairy,May 2000,21
Dairy,Jun 2000,26.19
Dairy,Jul 2000,25.41
Dairy,Aug 2000,30.47
Dairy,Sep 2000,12.88
Dairy,Oct 2000,9.78
Dairy,Nov 2000,8.25
Dairy,Dec 2000,7.44
Dairy,Jan 2001,10.81
Dairy,Feb 2001,9.12
Dairy,Mar 2001,11.03
Dairy,Apr 2001,12.74
Dairy,May 2001,9.98
Dairy,Jun 2001,11.62
Dairy,Jul 2001,9.4
Dairy,Aug 2001,9.27
Dairy,Sep 2001,7.76
Dairy,Oct 2001,8.78
Dairy,Nov 2001,10.65
Dairy,Dec 2001,10.95
Dairy,Jan 2002,12.36
Dairy,Feb 2002,10.85
Dairy,Mar 2002,11.84
Dairy,Apr 2002,12.14
Dairy,May 2002,11.65
Dairy,Jun 2002,8.86
Dairy,Jul 2002,7.63
Dairy,Aug 2002,7.38
Dairy,Sep 2002,7.25
Dairy,Oct 2002,8.03
Dairy,Nov 2002,7.75
Dairy,Dec 2002,7.16
Dairy,Jan 2003,7.18
Dairy,Feb 2003,7.51
Dairy,Mar 2003,7.07
Dairy,Apr 2003,7.11
Dairy,May 2003,8.98
Dairy,Jun 2003,9.53
Dairy,Jul 2003,10.54
Dairy,Aug 2003,11.31
Dairy,Sep 2003,10.36
Dairy,Oct 2003,11.44
Dairy,Nov 2003,10.45
Dairy,Dec 2003,10.69
Dairy,Jan 2004,11.28
Dairy,Feb 2004,11.96
Dairy,Mar 2004,13.52
Dairy,Apr 2004,12.89
Dairy,May 2004,14.03
Dairy,Jun 2004,16.27
Dairy,Jul 2004,16.17
Dairy,Aug 2004,17.25
Dairy,Sep 2004,19.38
Dairy,Oct 2004,26.2
Dairy,Nov 2004,33.53
Dairy,Dec 2004,32.2
Dairy,Jan 2005,38.45
Dairy,Feb 2005,44.86
Dairy,Mar 2005,41.67
Dairy,Apr 2005,36.06
Dairy,May 2005,39.76
Dairy,Jun 2005,36.81
Dairy,Jul 2005,42.65
Dairy,Aug 2005,46.89
Dairy,Sep 2005,53.61
Dairy,Oct 2005,57.59
Dairy,Nov 2005,67.82
Dairy,Dec 2005,71.89
Dairy,Jan 2006,75.51
Dairy,Feb 2006,68.49
Dairy,Mar 2006,62.72
Dairy,Apr 2006,70.39
Dairy,May 2006,59.77
Dairy,Jun 2006,57.27
Dairy,Jul 2006,67.96
Dairy,Aug 2006,67.85
Dairy,Sep 2006,76.98
Dairy,Oct 2006,81.08
Dairy,Nov 2006,91.66
Dairy,Dec 2006,84.84
Dairy,Jan 2007,85.73
Dairy,Feb 2007,84.61
Dairy,Mar 2007,92.91
Dairy,Apr 2007,99.8
Dairy,May 2007,121.19
Dairy,Jun 2007,122.04
Dairy,Jul 2007,131.76
Dairy,Aug 2007,138.48
Dairy,Sep 2007,153.47
Dairy,Oct 2007,189.95
Dairy,Nov 2007,182.22
Dairy,Dec 2007,198.08
Dairy,Jan 2008,135.36
Dairy,Feb 2008,125.02
Dairy,Mar 2008,143.5
Dairy,Apr 2008,173.95
Dairy,May 2008,188.75
Dairy,Jun 2008,167.44
Dairy,Jul 2008,158.95
Dairy,Aug 2008,169.53
Dairy,Sep 2008,113.66
Dairy,Oct 2008,107.59
Dairy,Nov 2008,92.67
Dairy,Dec 2008,85.35
Dairy,Jan 2009,90.13
Dairy,Feb 2009,89.31
Dairy,Mar 2009,105.12
Dairy,Apr 2009,125.83
Dairy,May 2009,135.81
Dairy,Jun 2009,142.43
Dairy,Jul 2009,163.39
Dairy,Aug 2009,168.21
Dairy,Sep 2009,185.35
Dairy,Oct 2009,188.5
Dairy,Nov 2009,199.91
Dairy,Dec 2009,210.73
Dairy,Jan 2010,192.06
Dairy,Feb 2010,204.62
Dairy,Mar 2010,223.02
